wandb_id,run name,loss variation,w_comp,w_diss,w_pen
twp2y1vz,he0190,2,1.0,1.0,100.0 >> /home/bibit/dair_pll/logs/train_he0190.txt
5mlpj043,he0191,3,1.0,1.0,100.0 >> /home/bibit/dair_pll/logs/train_he0191.txt
v9o6zals,he0192,1,1.0,10.0,0.01 >> /home/bibit/dair_pll/logs/train_he0192.txt
dx0wuqug,he0193,2,1.0,10.0,0.01 >> /home/bibit/dair_pll/logs/train_he0193.txt
shed39tr,he0194,3,1.0,10.0,0.01 >> /home/bibit/dair_pll/logs/train_he0194.txt
ci9npsyk,he0195,1,1.0,10.0,0.1 >> /home/bibit/dair_pll/logs/train_he0195.txt
irfvd2no,he0196,2,1.0,10.0,0.1 >> /home/bibit/dair_pll/logs/train_he0196.txt
8onfic94,he0197,3,1.0,10.0,0.1 >> /home/bibit/dair_pll/logs/train_he0197.txt
z5v4qehf,he0198,1,1.0,10.0,1.0 >> /home/bibit/dair_pll/logs/train_he0198.txt
l23p9kuo,he0199,2,1.0,10.0,1.0 >> /home/bibit/dair_pll/logs/train_he0199.txt
c36r4iqr,he0200,3,1.0,10.0,1.0 >> /home/bibit/dair_pll/logs/train_he0200.txt
sbr4cxpg,he0201,1,1.0,10.0,10.0 >> /home/bibit/dair_pll/logs/train_he0201.txt
uwa2c8at,he0202,2,1.0,10.0,10.0 >> /home/bibit/dair_pll/logs/train_he0202.txt
ktjvbby9,he0203,3,1.0,10.0,10.0 >> /home/bibit/dair_pll/logs/train_he0203.txt
9ph6ptcx,he0204,1,1.0,10.0,100.0 >> /home/bibit/dair_pll/logs/train_he0204.txt
sn6st8co,he0205,2,1.0,10.0,100.0 >> /home/bibit/dair_pll/logs/train_he0205.txt
0azhy0pq,he0206,3,1.0,10.0,100.0 >> /home/bibit/dair_pll/logs/train_he0206.txt
hs6qnrvg,he0207,1,1.0,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0207.txt
nhnwrfw0,he0208,2,1.0,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0208.txt
tzkfuyq5,he0209,3,1.0,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0209.txt
dlrjg8ek,he0210,1,1.0,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0210.txt
hygzoevx,he0211,2,1.0,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0211.txt
oynok8et,he0212,3,1.0,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0212.txt
jd5ckqb2,he0213,1,1.0,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0213.txt
6xmubmx9,he0214,2,1.0,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0214.txt
gfax6fk1,he0215,3,1.0,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0215.txt
et1yi3lc,he0216,1,1.0,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0216.txt
dtlm5sy4,he0217,2,1.0,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0217.txt
3vqcmurd,he0218,3,1.0,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0218.txt
25b23nzj,he0219,1,1.0,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0219.txt
dx7rgmqj,he0220,2,1.0,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0220.txt
gxr448d3,he0221,3,1.0,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0221.txt
doen01qs,he0222,1,10.0,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0222.txt
4zdn6iv4,he0223,2,10.0,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0223.txt
9pc3tvpa,he0224,3,10.0,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0224.txt
26iazz4l,he0225,1,10.0,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0225.txt
hcapxeyf,he0226,2,10.0,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0226.txt
vf8t80or,he0227,3,10.0,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0227.txt
sp9opj5n,he0228,1,10.0,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0228.txt
zarp3tfb,he0229,2,10.0,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0229.txt
7kgzyhd0,he0230,3,10.0,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0230.txt
0hh6t8l6,he0231,1,10.0,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0231.txt
dcvznwl1,he0232,2,10.0,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0232.txt
7zqzxmw0,he0233,3,10.0,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0233.txt
romf5zu8,he0234,1,10.0,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0234.txt
f1n1zfeb,he0235,2,10.0,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0235.txt
gq1npgpk,he0236,3,10.0,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0236.txt
4pw4h07y,he0237,1,10.0,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0237.txt
gcm9lp0g,he0238,2,10.0,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0238.txt
wb9jn4l8,he0239,3,10.0,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0239.txt
jyvoz2i5,he0240,1,10.0,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0240.txt
0v5p46r4,he0241,2,10.0,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0241.txt
xddezj3f,he0242,3,10.0,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0242.txt
pt00j4dg,he0243,1,10.0,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0243.txt
j2dqt5zz,he0244,2,10.0,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0244.txt
kg6nfk9u,he0245,3,10.0,0.1,1.0 >> /home/bibit/dair_pll/logs/train_he0245.txt
kpetfup5,he0246,1,10.0,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0246.txt
ui3i573g,he0247,2,10.0,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0247.txt
38171tjb,he0248,3,10.0,0.1,10.0 >> /home/bibit/dair_pll/logs/train_he0248.txt
f3ut230t,he0249,1,10.0,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0249.txt
mhq9gik2,he0250,2,10.0,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0250.txt
ttndo357,he0251,3,10.0,0.1,100.0 >> /home/bibit/dair_pll/logs/train_he0251.txt
iit30so3,he0252,1,10.0,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0252.txt
vk37f1fb,he0253,2,10.0,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0253.txt
3ajwhapn,he0254,3,10.0,1.0,0.01 >> /home/bibit/dair_pll/logs/train_he0254.txt
nx3x397m,he0255,1,10.0,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0255.txt
zjo0g2kf,he0256,2,10.0,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0256.txt
rgymk1lu,he0257,3,10.0,1.0,0.1 >> /home/bibit/dair_pll/logs/train_he0257.txt
3f5f6x4x,he0258,1,10.0,1.0,1.0 >> /home/bibit/dair_pll/logs/train_he0258.txt
2vqvlcaf,he0259,2,10.0,1.0,1.0 >> /home/bibit/dair_pll/logs/train_he0259.txt
rijv4t1s,he0260,3,10.0,1.0,1.0 >> /home/bibit/dair_pll/logs/train_he0260.txt
an1frz80,he0261,1,10.0,1.0,10.0 >> /home/bibit/dair_pll/logs/train_he0261.txt
