wandb_id,run name,loss variation,w_comp,w_diss,w_pen,best valid MSE
ojg88vxz,he0349,2,100.0,10.0,1.0,10676.22495541634
29qs86ya,he0350,3,100.0,10.0,1.0,10599.427522581282
81ggi604,he0351,1,100.0,10.0,10.0,8372.8944043841
srqm9f1t,he0352,2,100.0,10.0,10.0,11789.381228129922
jwoe1nmx,he0353,3,100.0,10.0,10.0,8566.371120738859
9rscnjum,he0354,1,100.0,10.0,100.0,8203.169211922019
622v4m21,he0355,2,100.0,10.0,100.0,13466.526955153673
z9crkv2r,he0356,3,100.0,10.0,100.0,11404.24462320427
zs3zsasx,he0357,1,100.0,100.0,0.01,9146.299135977843
ldko7pc0,he0358,2,100.0,100.0,0.01,11314.26474890321
h0i4mi95,he0359,3,100.0,100.0,0.01,11923.0417216147
ts3mv9nn,he0360,1,100.0,100.0,0.1,7898.650274025012
0crzrj7d,he0361,2,100.0,100.0,0.1,11371.46806638289
y6kxzoh2,he0362,3,100.0,100.0,0.1,10534.710984590673
4mh05lmk,he0363,1,100.0,100.0,1.0,17552.42103946342
78xlj0d7,he0364,2,100.0,100.0,1.0,11271.938601071884
xqtqzmcm,he0365,3,100.0,100.0,1.0,11538.828213794462
of1j48ug,he0366,1,100.0,100.0,10.0,8633.75371033485
ysv007bq,he0367,2,100.0,100.0,10.0,10603.071542465634
1i6m8qki,he0368,3,100.0,100.0,10.0,11996.902036214258
v74z3u6q,he0369,1,100.0,100.0,100.0,7967.200226743516
55v7qbgb,he0370,2,100.0,100.0,100.0,11514.761558283013
da58moio,he0371,3,100.0,100.0,100.0,11793.336357616387
